"Paper","Experiment","Lab","SubjectGroup","YA_N","OA_N","OA_Age","YA_YearsEducation","OA_YearsEducation","Words","Faces","Pictures","Text","PositiveValence","NeutralValence","NegativeValence","VisualOnly","AuditoryOnly","Audiovisual","Production","IntentionalEncoding","SelfPacedStudy","StudyTimePerItem.Sec","DeepOrientingTask","ShallowOrientingTask","GenerationTask","DividedAttention","NumMemoranda","MultipleStudyOpportunities","InterveningCuedRecall","InterveningFreeRecall","ContinuousRecog","RetentionInterval","NumTestProbes","ConjunctionLures","ComponentLures","SemanticLures","FeaturalLures","UnrelatedLures","ProportionLures","ProportionLures.cen","YA_Discrimination","OA_Discrimination","EffectSize_Discrimination","YA_Criterion","OA_Criterion","EffectSize_Criterion","YA_HR","OA_HR","YA_FAR","OA_FAR"
"Bartlett Leslie Tubbs Fulton 1989","Bartlett Leslie Tubbs Fulton 1989 Expt 1","Bartlett","Bartlett Leslie Tubbs Fulton 1989 Expt 1-Only",15,15,66.7,NA,NA,"FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,FALSE,FALSE,10,"TRUE","FALSE","FALSE","FALSE",48,FALSE,"FALSE","FALSE","FALSE",0.08333,72,"FALSE","FALSE","FALSE","FALSE",TRUE,0.333333333,-0.166666667,2.18,1.67,-0.51,-0.24,-0.65,0.41,0.8675,0.8775,0.21,0.43
"Bartlett Leslie Tubbs Fulton 1989","Bartlett Leslie Tubbs Fulton 1989 Expt 1","Bartlett","Bartlett Leslie Tubbs Fulton 1989 Expt 1-Only",30,30,66.7,NA,NA,"FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,FALSE,FALSE,10,"TRUE","FALSE","FALSE","FALSE",48,FALSE,"FALSE","FALSE","FALSE",0.08333,72,"FALSE","FALSE","FALSE","TRUE",FALSE,0.833333333,0.333333333,1.00064880841141,0.853789020577924,-0.146859787833483,0.298430925063852,0.376740926824228,-0.0783100017603757,0.58,0.52,0.215,0.215
"Bartlett Leslie Tubbs Fulton 1989","Bartlett Leslie Tubbs Fulton 1989 Expt 1","Bartlett","Bartlett Leslie Tubbs Fulton 1989 Expt 1-Only",15,15,66.7,NA,NA,"FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,FALSE,FALSE,10,"TRUE","FALSE","FALSE","FALSE",48,FALSE,"FALSE","FALSE","FALSE",0.08333,72,"FALSE","FALSE","TRUE","TRUE",FALSE,0.833333333,0.333333333,0.533746825578667,0.546003930812187,0.0122571052335196,0.0649799336474829,0.22284838194136,-0.157868448293877,0.58,0.52,0.37,0.31
"Bartlett Leslie Tubbs Fulton 1989","Bartlett Leslie Tubbs Fulton 1989 Expt 2","Bartlett","Bartlett Leslie Tubbs Fulton 1989 Expt 2-Only",16,16,69.6,NA,NA,"FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,FALSE,FALSE,10,"TRUE","FALSE","FALSE","FALSE",48,FALSE,"FALSE","FALSE","FALSE",0.08333,72,"FALSE","FALSE","FALSE","FALSE",TRUE,0.333333333,-0.166666667,1.91077982230982,0.936395103272948,-0.974384719036874,-0.312044505761994,-0.670091030778325,0.358046525016331,0.8975,0.8725,0.26,0.58
"Bastin Van der Linden 2003","Bastin Van der Linden 2003 Expt 1","Van der Linden","Bastin Van der Linden 2003 Expt 1-Only",64,64,64.36,14.47,14.17,"FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,1.5,"FALSE","FALSE","FALSE","FALSE",18,FALSE,"FALSE","FALSE","FALSE",0.5,36,"FALSE","FALSE","FALSE","TRUE",FALSE,0.5,0,1.53700676041741,0.94130030052241,-0.595706459895,0.185661872937489,0.112191357010011,0.0734705159274777,0.72,0.64,0.17,0.28
"Benjamin Craik 2001","Benjamin Craik 2001 Expt 2","Craik","Benjamin Craik 2001 Expt 2-Only",36,68,72.7,15.4,15.7,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,1.5,"FALSE","FALSE","FALSE","FALSE",40,TRUE,"FALSE","FALSE","FALSE",1,80,"FALSE","FALSE","FALSE","FALSE",TRUE,0.5,0,2.1830361826477,1.9967627741189,-0.186273408528796,0.195752471784092,-0.0943900594950497,0.290142531279142,0.812,0.8585,0.099,0.183
"Berry Williams Usubalieva Kilb 2013","Berry Williams Usubalieva Kilb 2013 Expt 1","Berry","Berry Williams Usubalieva Kilb 2013 Expt 1-Only",40,42,71.6,12.67,16.22,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,5,"FALSE","FALSE","FALSE","FALSE",30,FALSE,"FALSE","FALSE","FALSE",0.2,40,"FALSE","FALSE","FALSE","FALSE",TRUE,0.5,0,1.17151823584508,1.00598078876204,-0.165537447083044,0.069967560875713,-0.012801162665809,0.082768723541522,0.697,0.697,0.256,0.312
"Berry Williams Usubalieva Kilb 2013","Berry Williams Usubalieva Kilb 2013 Expt 1","Berry","Berry Williams Usubalieva Kilb 2013 Expt 1-Only",40,42,71.6,12.67,16.22,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,5,"FALSE","FALSE","FALSE","FALSE",30,FALSE,"FALSE","FALSE","FALSE",0.2,20,"TRUE","FALSE","FALSE","FALSE",FALSE,0.5,0,0.650899415531583,0.437119199530799,-0.213780216000784,0.225015987254321,-0.00898537687575002,0.234001364130071,0.54,0.59,0.291,0.417
"Berry Williams Usubalieva Kilb 2013","Berry Williams Usubalieva Kilb 2013 Expt 1","Berry","Berry Williams Usubalieva Kilb 2013 Expt 1-Only",40,42,71.6,12.67,16.22,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,5,"FALSE","FALSE","FALSE","FALSE",30,FALSE,"FALSE","FALSE","FALSE",0.2,40,"FALSE","FALSE","FALSE","FALSE",TRUE,0.5,0,1.81053527127455,1.53523249303249,-0.27530277824206,0.10576669250454,0.0353400417931471,0.0704266507113928,0.788,0.768,0.156,0.211
"Berry Williams Usubalieva Kilb 2013","Berry Williams Usubalieva Kilb 2013 Expt 1","Berry","Berry Williams Usubalieva Kilb 2013 Expt 1-Only",40,42,71.6,12.67,16.22,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,5,"FALSE","FALSE","FALSE","FALSE",30,FALSE,"FALSE","FALSE","FALSE",0.2,20,"TRUE","FALSE","FALSE","FALSE",FALSE,0.5,0,1.66869654596881,0.922802433311293,-0.745894112657519,0.135745003644331,-0.0543903403911809,0.190135344035512,0.7576,0.697,0.166,0.342
"Bowman Dennis 2015","Bowman Dennis 2015 Expt 1","Dennis","Bowman Dennis 2015 Expt 1-Only",17,22,74.18,14.47,18.27,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,FALSE,FALSE,1,"TRUE","FALSE","FALSE","FALSE",720,FALSE,"FALSE","FALSE","FALSE",1440,642,"FALSE","FALSE","FALSE","FALSE",TRUE,0.579439252,0.079439252,2.17726477449832,1.58981810904946,-0.587446665448855,0.316439173060474,-0.241524334969058,0.557963508029532,0.78,0.85,0.08,0.29
"Bowman Dennis 2015","Bowman Dennis 2015 Expt 1","Dennis","Bowman Dennis 2015 Expt 1-Only",17,22,74.18,14.47,18.27,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,FALSE,FALSE,1,"TRUE","FALSE","FALSE","FALSE",720,FALSE,"FALSE","FALSE","FALSE",1440,642,"FALSE","FALSE","TRUE","FALSE",FALSE,0.579439252,0.079439252,0.797262122447396,0.393087984100873,-0.404174138346523,-0.373562152964987,-0.839889397443353,0.466327244478366,0.78,0.85,0.49,0.74
"Bryce Dodson 2012","Bryce Dodson 2012 Expt 1","Dodson","Bryce Dodson 2012 Expt 1-Only",24,24,72,13.9,16.2,"FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,5,"FALSE","FALSE","FALSE","FALSE",24,FALSE,"FALSE","FALSE","FALSE",0.08333,32,"FALSE","FALSE","FALSE","FALSE",TRUE,0.75,0.25,2.3044957027629,1.82562504215201,-0.478870660610893,0.445945288541365,0.123620868417784,0.322324420123581,0.76,0.785,0.055,0.15
"Budson et al 2006","Budson et al 2006 Expt 1","Budson","Budson et al 2006 Expt 1-Only",20,19,73.8,14.3,15,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE",TRUE,TRUE,FALSE,2.6,"FALSE","FALSE","FALSE","FALSE",40,FALSE,"FALSE","FALSE","FALSE",5,60,"FALSE","FALSE","FALSE","FALSE",TRUE,0.5,0,2.17,1.96,-0.21,0.29,0.5,-0.21,0.78,0.67,0.02,0.07
